metric;method;limit;fact;sigma_d;k1_green_mt;k2_ratio;k2_levene_p;k2_f_p;k3_dev_t1;k3_dev_t4;green_bound;red_bound;t1;t2;zone;dist_sigma;utilisation;red_bound_is_proposal
Топ-20 / СК;M(T);108.6304;101.5041;4.0667;98.2069;0.661;0.3539;0.3619;-0.011;0.210;98.2069;103.4187;5.2117;10.4235;жёлтая;1.75;0.9344;0
CoR KB_PB;эмпирический;3.0000;-0.2674;1.2817;-0.2850;5.044;0.0004;0.0000;0.967;0.850;0.5237;2.1651;0.8349;1.7754;зелёная;2.55;-0.0891;1
CoR MSB;эмпирический;3.5000;0.2667;0.6624;1.8023;4.857;0.0000;0.0000;0.840;0.284;0.2386;3.0387;0.4613;1.3220;жёлтая;4.88;0.0762;1
EL — всего;M(T);9.0000;2.7573;0.0802;8.7946;0.618;0.5517;0.2865;1.484;1.281;8.7946;8.8973;0.1027;0.2054;зелёная;77.88;0.3064;0
EL — необеспеченные;M(T);10.0000;7.5667;0.1266;9.6755;0.632;0.3411;0.3107;-0.069;0.279;9.6755;9.8378;0.1622;0.3245;зелёная;19.22;0.7567;0
EL — обеспеченные;M(T);7.0000;1.6359;0.0516;6.8677;0.678;0.2828;0.3945;-0.134;-0.140;6.8677;6.9339;0.0661;0.1323;зелёная;103.94;0.2337;0
EL — прочие;M(T);10.0000;2.4718;0.0853;9.7814;0.852;0.5939;0.7811;0.924;1.194;9.7814;9.8907;0.1093;0.2186;зелёная;88.27;0.2472;0
PD — необеспеченные;M(T);15.0000;10.9612;0.1234;14.6836;0.610;0.4180;0.2732;0.363;0.833;14.6836;14.8418;0.1582;0.3164;зелёная;32.72;0.7307;0
PD — необеспеченные, наличные;M(T);15.0000;11.0461;0.1448;14.6290;0.580;0.3452;0.2267;0.540;0.684;14.6290;14.8145;0.1855;0.3710;зелёная;27.31;0.7364;0
PD — необеспеченные, товарные;M(T);15.0000;10.5865;0.1009;14.7413;1.756;0.0817;0.0486;0.498;5.240;14.7413;14.8707;0.1293;0.2587;зелёная;43.73;0.7058;0
PD — обеспеченные;M(T);7.0000;5.0141;0.0999;6.7440;0.211;0.1212;0.0026;0.485;-0.192;6.7440;6.8720;0.1280;0.2560;зелёная;19.89;0.7163;0
PD — прочие;M(T);14.0000;3.6550;0.1040;13.7334;1.300;0.4570;0.3401;1.178;0.916;13.7334;13.8667;0.1333;0.2666;зелёная;99.45;0.2611;0
